               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.038438,             0.11211,                   0,             0.99375,              0.8833,             0.92565,             0.59583,            0.048861,            0.068951,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.038309,             0.11239,                   0,                   1,                   1,               0.995,             0.68825,            0.037007,            0.060966,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.038942,             0.11726,                   0,                   1,                   1,               0.995,             0.68344,            0.037027,            0.059834,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,             0.03924,             0.11222,                   0,             0.99999,                   1,               0.995,             0.66467,            0.038066,             0.06397,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.037763,             0.11306,                   0,                   1,                   1,               0.995,             0.66202,            0.037943,            0.062162,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.039123,              0.1149,                   0,             0.99998,                   1,               0.995,             0.68726,            0.036169,             0.06184,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.037555,             0.11384,                   0,                   1,                   1,               0.995,             0.68262,            0.036922,            0.062394,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.037612,             0.11163,                   0,                   1,             0.99999,               0.995,             0.70164,            0.036364,            0.059531,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,             0.03725,             0.11157,                   0,             0.99999,                   1,               0.995,             0.69524,            0.036586,            0.058815,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,            0.038303,              0.1143,                   0,                   1,                   1,               0.995,             0.66879,            0.038015,            0.060985,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.037951,             0.11126,                   0,             0.99998,                   1,               0.995,              0.6756,            0.037817,            0.062441,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.037349,             0.10965,                   0,             0.99999,                   1,               0.995,             0.69541,            0.036386,            0.059722,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,            0.037298,             0.10717,                   0,             0.99999,                   1,               0.995,             0.71218,            0.036186,            0.059545,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.037206,             0.11081,                   0,             0.99998,                   1,               0.995,             0.69594,            0.036643,            0.059261,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.038548,             0.11302,                   0,                   1,             0.99999,               0.995,              0.6956,            0.036583,              0.0581,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.038024,             0.11042,                   0,             0.99999,                   1,               0.995,             0.69659,            0.036611,            0.058766,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.037851,             0.11471,                   0,                   1,             0.99999,               0.995,             0.70276,            0.036633,            0.059781,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.036892,             0.10788,                   0,             0.99999,                   1,               0.995,             0.69717,            0.036954,            0.060969,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.036984,             0.10748,                   0,                   1,             0.99999,               0.995,             0.70363,            0.036582,            0.059644,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.037223,             0.11023,                   0,                   1,                   1,               0.995,             0.71482,            0.036274,            0.058285,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.038161,             0.11285,                   0,             0.99999,                   1,               0.995,             0.69334,            0.036659,            0.059342,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.037757,             0.11267,                   0,                   1,                   1,               0.995,             0.67387,            0.037432,             0.06182,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.037492,             0.11249,                   0,             0.99999,                   1,               0.995,             0.69289,            0.036984,            0.059897,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,             0.03718,              0.1104,                   0,             0.99999,                   1,               0.995,             0.69331,            0.036884,            0.062207,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.037092,             0.11159,                   0,             0.99999,                   1,               0.995,             0.71036,            0.036482,            0.058424,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.038032,             0.11128,                   0,             0.99999,                   1,               0.995,             0.71218,            0.036099,            0.058607,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.035905,             0.10314,                   0,             0.99999,                   1,               0.995,             0.69541,            0.037021,            0.061472,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.037355,             0.11314,                   0,             0.99999,                   1,               0.995,             0.69481,            0.036497,            0.060464,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.037871,             0.11258,                   0,             0.99999,                   1,               0.995,              0.7044,            0.036472,            0.059388,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.037188,             0.11313,                   0,             0.99999,                   1,               0.995,               0.707,            0.036409,            0.058912,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.036854,             0.10933,                   0,             0.99999,                   1,               0.995,             0.71994,            0.035421,            0.058025,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.037393,             0.10981,                   0,                   1,             0.99999,               0.995,             0.70734,            0.035862,            0.061055,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.036535,             0.10742,                   0,             0.99999,                   1,               0.995,             0.70681,            0.036021,             0.05992,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.036731,             0.10971,                   0,             0.99999,                   1,               0.995,             0.69936,            0.036564,            0.059708,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.036386,             0.10791,                   0,                   1,                   1,               0.995,             0.70095,            0.036529,            0.059226,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.037326,             0.11471,                   0,                   1,                   1,               0.995,               0.713,            0.035848,             0.05886,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,            0.037103,                0.11,                   0,             0.99999,                   1,               0.995,             0.71227,            0.035414,            0.057941,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.037437,             0.11216,                   0,             0.99999,                   1,               0.995,             0.70014,            0.035853,             0.06002,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.037366,             0.10988,                   0,                   1,                   1,               0.995,             0.70294,             0.03616,            0.058464,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.037413,             0.11226,                   0,             0.99999,                   1,               0.995,             0.70817,            0.035862,            0.057686,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.036655,             0.11466,                   0,             0.99999,                   1,               0.995,             0.70928,            0.035928,            0.058133,                   0,            0.004936,            0.004936,            0.004936
                 164,              0.0372,             0.11118,                   0,             0.99999,                   1,               0.995,             0.71063,            0.036031,            0.058619,                   0,           0.0048893,           0.0048893,           0.0048893
                 165,            0.037027,             0.11018,                   0,             0.99999,                   1,               0.995,              0.6975,            0.036343,            0.060171,                   0,           0.0048426,           0.0048426,           0.0048426
                 166,            0.036073,             0.10858,                   0,                   1,                   1,               0.995,              0.7124,            0.035856,            0.058814,                   0,            0.004796,            0.004796,            0.004796
                 167,            0.037206,             0.10812,                   0,             0.99999,                   1,               0.995,             0.70939,            0.036127,             0.05923,                   0,           0.0047495,           0.0047495,           0.0047495
                 168,            0.036251,              0.1061,                   0,             0.99999,                   1,               0.995,             0.71644,            0.035756,            0.058093,                   0,           0.0047031,           0.0047031,           0.0047031
                 169,            0.036673,             0.10805,                   0,             0.99999,                   1,               0.995,             0.67672,            0.036759,             0.06184,                   0,           0.0046568,           0.0046568,           0.0046568
                 170,            0.036197,             0.10481,                   0,                   1,                   1,               0.995,             0.71586,            0.035697,            0.058696,                   0,           0.0046105,           0.0046105,           0.0046105
                 171,            0.035886,             0.10407,                   0,             0.99999,                   1,               0.995,             0.71131,            0.036138,            0.059566,                   0,           0.0045644,           0.0045644,           0.0045644
                 172,            0.036073,             0.11226,                   0,             0.99999,                   1,               0.995,              0.6999,            0.036549,            0.059523,                   0,           0.0045184,           0.0045184,           0.0045184
